pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
6.71837,0.071,47.6745,938.0,5970.0,0.79,1.08,-0.1549,6.38913,132.26,0.0,0.0,0.0,0.0,0
0.87724,0.0177,7.67,2038.0,5679.0,0.98,0.958,-0.04915,1.565,2852.0,0.0,0.43500000000000005,0.0,0.1305,0
6.180235,0.07229,953.49,1401.0,6202.0,1.586,1.317,0.52634,11.780659,642.0,0.0,0.0,0.0,0.0,0
5.746007,0.0385,11.7,456.0,3348.0,0.3073,0.29,-1.97102,2.025,7.2,0.41666666666666663,0.0,0.0,0.16666666666666666,0
5.7459982,0.0418,4.0,440.6,3395.0,0.3026,0.2952,-1.96019,1.9,6.27,0.4701388888888888,0.10000000000000009,0.0,0.21805555555555556,0
1.62892911,0.0157,1.83704819,583.8,3229.0,0.2211,0.1945,-2.32148,1.19151465,19.3,0.0,0.80848535,0.0,0.242545605,0
1.58040433,0.0149,8.17,596.0,3250.0,0.215,0.178,-2.33724,2.742,21.0,0.0,0.0,0.0,0.0,0
1.580404531,0.01505,8.41,567.0,3101.0,0.2162,0.182,-2.40894,2.733,17.2,0.03125,0.0,0.0,0.0125,0
1.1980035,0.01589,1.86,773.0,3347.0,0.364,0.36,-1.82391,1.264,59.4,0.0,0.736,0.0,0.2208,0
3.93072,0.035,1.84,525.0,3505.0,0.337,0.342,-1.79833,1.217,12.6,0.17708333333333337,0.7829999999999999,0.0,0.3057333333333333,0
0.3219225,0.00709,0.633,1365.0,3522.0,0.458,0.455,-1.5391,0.699,579.0,0.0,0.699,0.0,0.20969999999999997,0
2.616235,0.0252,1.75,568.0,3384.0,0.32,0.313,-1.96257,1.09,17.3,0.02777777777777779,0.9099999999999999,0.0,0.2841111111111111,0
2.6162745,0.02569,1.21,568.8,3369.0,0.315,0.309,-1.93742,1.15,17.5,0.025000000000000133,0.8500000000000001,0.0,0.26500000000000007,0
1.467119,0.01734,2.82,701.0,3340.0,0.328,0.323,-1.91721,1.305,40.3,0.0,0.6950000000000001,0.0,0.20850000000000002,0
1.4671205,0.01713,3.0,706.0,3291.0,0.339,0.333,-1.9165,1.343,41.3,0.0,0.657,0.0,0.1971,0
1.46712127,0.01714,2.77,696.3,3317.0,0.3243,0.312,-1.93892,1.289,39.2,0.0,0.7110000000000001,0.0,0.21330000000000002,0
0.9263237,0.01406,1.9,940.0,3600.0,0.4144,0.413,-1.58528,1.331,130.0,0.0,0.669,0.0,0.20070000000000002,0
6.20183,0.053,3.02,675.0,4236.0,0.58,0.62,-1.00436,1.98,34.9,0.0,0.020000000000000018,0.0,0.006000000000000005,0
1.744579,0.0338,6261.2196179,2300.0,7000.0,1.56,1.68,0.72673,16.47720163,4650.0,0.0,0.0,0.0,0.0,0
12.76142,0.067,10.0,315.0,3253.0,0.269,0.241,-2.13077,0.9,1.6,0.90625,0.9,0.3999999999999999,0.7525000000000001,1
12.761408,0.0668,3.87,314.6,3296.0,0.2617,0.2414,-2.13787,0.958,1.62,0.9076388888888888,0.958,0.3799999999999999,0.7644555555555556,1
4.00878322,0.04599,88.03846874,981.2,4962.0,0.773,0.807,-0.48545,11.29865255,154.0,0.0,0.0,0.0,0.0,0
3.65281514,0.0466,180.84527,1182.0,5519.0,0.919,1.012,-0.15181,12.722215,325.0,0.0,0.0,0.0,0.0,0
5.72339,0.0665,243.77561,1271.0,6115.0,1.237,1.199,0.2833,11.926376,433.0,0.0,0.0,0.0,0.0,0
2.1500082,0.03397,216.1244,1835.7,6001.0,1.367,1.132,0.33806,22.19382,1841.0,0.0,0.0,0.0,0.0,0
1.3273466,0.02402,611.82275,1820.2,5560.0,1.108,1.049,0.02243,15.210613,1821.0,0.0,0.0,0.0,0.0,0
4.21802091,0.05042,97.57332095,1168.2,5453.0,0.995,0.961,-0.10237,13.50682174,310.0,0.0,0.0,0.0,0.0,0
3.5852313,0.04628,189.42573057,1367.0,5804.0,1.105,1.028,0.09656,14.84069045,583.0,0.0,0.0,0.0,0.0,0
4.0138379,0.04994,118.2321674,1622.0,6078.0,1.53,1.031,0.45637,14.93036229,1146.0,0.0,0.0,0.0,0.0,0
4.1419771,0.05064,489.45574678,1277.8,5678.0,1.1038,1.008,0.05385,12.58768533,441.4,0.0,0.0,0.0,0.0,0
