pl_rade,pl_eqt,pl_orbper,stellar_compatibility
2.361,797.0,10.3392924,-5040.5
2.3,797.0,43.0343364,-5595.24
2.9,729.0,8.689298,-5143.5
2.796,797.0,10.3392924,-5412.5
4.83,297.0,205.912082,-5715.5
1.19,1236.0,3.40165668,-6175.5
1.72,867.0,13.2274528,-6267.5
1.7202,1835.0,1.0082361,-5793.79
2.3,797.0,17.4442401479,-5325.5
3.065,797.0,17.81595067,-5784.5
3.23,1035.0,14.80074836,-7090.5
18.94321,797.0,2.849375,-5611.5
5.93,767.0,28.45492088,-6213.5
1.86,487.0,45.0904643,-5788.5
2.22,1214.0,6.96710269,-6600.5
2.3,797.0,1.41123038,-4203.82
11.43318,797.0,2.516729,-5401.5
2.51,815.0,15.92346,-5708.5
10.99,972.0,16.33889626,-4881.5
1.96,1062.0,4.44588291,-5916.5
3.1,492.0,54.418464,-5848.5
2.587,797.0,14.91094205,-5563.5
2.3,797.0,7.256962446,-5872.16
0.904,797.0,12.73726137,-5481.5
0.9,1397.0,3.61460332,-5797.5
2.62,595.0,4.220965778,-3835.5
2.64,793.0,14.12846178,-6100.5
1.39321904,691.29,1.43446023837,-3419.5
2.67,797.0,16.568087,-5263.5
1.45,797.0,110.97378,-5915.5
2.9,409.0,4.871229,-3238.5
2.3,797.0,4.97760447,-5494.06
1.14,1693.0,0.813166357,-5235.5
1.05,1182.0,1.118549717,-4491.5
3.32,496.0,42.9923284,-5591.5
1.44,371.0,104.3518976,-5752.5
2.79,1200.0,9.376137,-6056.5
2.3,797.0,4.617136,-6104.01
2.3,797.0,16.57110259,-5283.5
2.3,797.0,54.280404359,-6109.53
2.73,268.0,82.53186,-4448.5
3.16,797.0,76.7325168,-6032.5
1.53,768.0,14.6671927,-5739.5
2.2,608.0,35.01198785,-6343.5
1.42,979.0,4.5117244,-5150.5
14.235,797.0,4.055259,-5398.5
2.3,797.0,19.73845351,-5839.7
2.3,797.0,12.83724862,-4312.5
1.16,910.0,13.9093583,-6277.5
1.76,1109.0,8.13122484,-6167.5
2.3,797.0,3.52249865,-6177.5
2.3,797.0,3.522498429,-6177.5
2.3,797.0,83255.09,-5611.5
3.1,492.0,54.418464,-5848.5
2.24,668.0,10.924709,-4755.5
1.8017647,797.0,12.400047,-5746.5
1.42,784.0,7.51854537,-5062.5
2.31,797.0,16.00749754,-5800.5
2.34,499.0,10.8484518,-4199.5
1.79,1088.0,3.71545391,-5511.5
2.3,797.0,1056.8,-5611.5
2.3,797.0,10.3392924,-5611.5
2.25248677,495.23,4.67805901868,-3564.5
2.3,797.0,21.08719667,-6402.62
2.584,797.0,10.3392924,-6128.5
2.3,797.0,76.5369531,-5593.6
2.3,797.0,261.2,-5248.5
2.3,797.0,3.1481,-3498.5
1.65,797.0,7.12594591,-6080.5
1.88,1191.0,7.12594591,-6389.5
1.6,737.0,2.732786,-3735.5
1.13,437.0,52.607947,-5749.5
30.8,797.0,19.7240891,-5744.5
1.84,297.0,201.1214,-5802.5
2.3,797.0,9900.0,-5611.5
11.47266206,910.93,5.1750108,-5175.5
1.1,1252.0,4.06844201,-5729.5
12.09082297,872.5,6.95611336692,-5385.5
2.3,797.0,15.3626250974,-5611.5
2.03,1082.0,1.548351,-4367.5
9.4,1401.0,1.85555773,-5729.5
2.3,797.0,31.2012477468,-4607.25
1.302,797.0,5.03506543,-5921.5
1.57,958.0,1.609321941,-4222.5
1.83,473.0,38.326218,-5446.5
2.3,797.0,54.5088662,-4580.37
14.359,1653.0,2.91626,-5651.5
2.3,797.0,56.6494247714,-6128.5
1.12,729.0,12.09997831,-5691.5
0.76,679.0,23.6225913,-6135.5
15.906,1764.0,3.52254,-6211.5
2.3,797.0,0.6313319,-4535.31
2.3,797.0,3.8971379,-6088.5
2.3,797.0,21.77568158,-5902.5
2.3,797.0,7.128050139,-6057.07
2.3,797.0,147.747,-5542.5
2.87,595.0,20.83424726,-5535.5
2.3,797.0,1365.0,-5611.5
2.3,797.0,3.3326808,-5611.5
