pl_rade,pl_eqt,pl_orbper,stellar_compatibility,st_spectype_simple,Habitability_Probability
1.64,302.0,99.25095,-5081.5,G,1.0
2.3,797.0,529.93,-4885.5,K,1.0
3.96,797.0,160.018032,-5379.5,G,1.0
9.16894621,995.3,8.3249113,-5993.5,F,1.0
2.3,797.0,577.90002,-4755.5,G,1.0
2.3,797.0,2460.0,-5611.5,G,1.0
2.355,578.0,45.294301,-5706.5,G,1.0
2.3,797.0,52.6614724305,-4337.68,G,1.0
1.87,797.0,66.5579057,-6225.5,G,1.0
2.7,797.0,42.913751,-6099.5,G,1.0
7.231,797.0,52.09081602,-6387.5,G,1.0
2.3,797.0,1362.3,-5558.5,G,1.0
2.3,797.0,1916.25,-5611.5,G,1.0
6.43,313.0,219.3217528,-6061.5,G,1.0
2.3,797.0,672.1,-3933.5,M,1.0
2.3,797.0,54.41605504,-6687.95,G,1.0
2.3,797.0,2208.0,-5735.5,G,1.0
2.3,797.0,51.20690303,-5389.5,G,1.0
16.14096,1780.0,3.31392,-6028.5,F,1.0
3.81,466.0,54.1561078,-5796.5,G,1.0
2.48,463.0,76.613377,-6168.5,G,1.0
2.3,797.0,47.0563327,-5374.5,G,1.0
2.76,797.0,47.9872764,-5651.5,G,1.0
14.067295,1404.5,5.857487,-6253.5,F,1.0
2.3,797.0,649.0,-5611.5,G,1.0
2.3,797.0,67.66839478,-5658.87,G,1.0
11.007238,797.0,5.63341,-6288.5,F,1.0
3.9,500.0,67.0935,-5978.5,G,1.0
1.97,343.0,138.9442,-6047.5,G,1.0
2.3,797.0,67.8587847844,-5927.23,G,1.0
2.57,350.0,124.827797,-5347.5,G,1.0
2.3,797.0,122.4,-5611.5,G,1.0
2.3,797.0,3140.0,-5910.5,G,1.0
2.3,797.0,733.0,-4532.5,G,1.0
2.3,797.0,46.7162336,-5729.5,G,1.0
2.3,797.0,42.4729078,-5667.5,G,1.0
2.51,273.0,234.635379,-5733.5,G,1.0
3.441,797.0,62.3027873,-5664.5,G,1.0
2.3,797.0,1532.0,-5438.5,G,1.0
2.21,468.0,40.60709,-5575.5,G,1.0
14.94,797.0,4.0460654,-5611.5,F,1.0
6.00434637,797.0,205.9120026,-5642.5,G,1.0
2.88,522.0,59.7711437,-6212.5,G,1.0
2.23,467.0,81.0634942,-6386.5,G,1.0
3.49,531.0,42.99255302,-5577.5,G,1.0
2.3,797.0,50.790346,-5611.5,G,1.0
2.3,797.0,215.5,-6048.5,F,1.0
2.3,797.0,3990.0,-6094.5,F,1.0
3.39,411.0,83.4886218,-5908.5,G,1.0
2.28,797.0,96.9151496,-5225.5,G,1.0
6.01,295.0,135.4978256,-5305.5,G,1.0
2.3,797.0,151.8851881,-6239.01,G,1.0
2.46,340.0,109.6471842,-5647.5,G,1.0
3.46,354.0,58.0198583,-4918.5,G,1.0
2.845,797.0,46.6858024,-5611.5,G,1.0
2.3,797.0,988.8811177,-5723.52,G,1.0
20.51243468,2182.0,10.3392924,-5611.5,F,1.0
2.3,797.0,2151.0,-5948.5,G,1.0
8.89,797.0,52.75875577,-5952.5,G,1.0
2.3,797.0,92.74812144,-4248.5,G,1.0
2.19,317.0,56.5735997,-4512.5,G,1.0
2.3,797.0,46.734,-4815.64,G,1.0
2.3,797.0,210.59334066,-6029.63,G,1.0
2.01,431.0,66.1849031,-5891.5,G,1.0
2.5,458.0,46.9025112,-5400.5,G,1.0
10.6,612.0,50.79034648,-6161.5,G,1.0
2.46,340.0,109.6471842,-5647.5,G,1.0
2.3,797.0,7586.0,-5611.5,G,1.0
2.81299996,797.0,92.72949982,-4578.5,G,1.0
2.3,797.0,2280.4,-5611.5,G,1.0
2.3,797.0,916.0,-4859.5,K,1.0
2.27,797.0,96.16987,-5067.5,G,1.0
2.3,797.0,133.6,-4834.3,G,1.0
3.71,270.0,453.543999,-6107.5,G,1.0
2.3,797.0,3000.0,-5474.5,G,1.0
2.94,448.0,85.7357202,-6094.5,G,1.0
2.3,797.0,406.0,-29562.5,G,1.0
3.5,392.0,105.6551369,-6058.5,G,1.0
1.94,523.0,47.3126192,-6033.5,G,1.0
2.3,797.0,54.1562671568,-5410.5,G,1.0
14.68376472,1566.0,10.3392924,-5611.5,F,1.0
4.13,643.0,55.99712,-6187.5,F,1.0
2.5,386.0,92.8756,-5816.5,G,1.0
2.3,797.0,695.36,-3491.23,G,1.0
2.97,473.0,84.703921,-6284.5,G,1.0
13.89916,1400.0,3.37265,-6048.5,F,1.0
2.3,797.0,47.4278332173,-5166.5,G,1.0
2.3,797.0,1075.3799,-5611.5,G,1.0
2.3,797.0,140.10244895,-6248.78,G,1.0
2.3,797.0,395.4,-5611.5,G,1.0
2.3,797.0,80.87226268,-5538.5,G,1.0
2.82,797.0,86.1150888,-5662.5,G,1.0
2.98,166.0,364.758031,-4384.5,G,1.0
2.3,797.0,25775.78859,-5611.5,G,1.0
3.21,230.0,210.630591,-4903.5,G,1.0
2.39,517.0,46.8779367,-5788.5,G,1.0
2.3,797.0,151.88558569,-6239.01,G,1.0
2.3,797.0,1935.571324,-5611.5,G,1.0
2.3,797.0,44000.0,-5611.5,G,1.0
5.7,542.0,52.09081602,-6386.5,G,1.0
2.29,319.0,52.66187,-4524.5,G,1.0
2.399,797.0,89.722292,-6312.5,G,1.0
2.3,797.0,3972.0,-5244.5,G,1.0
2.3,797.0,55.1866241,-6201.93,G,1.0
4.3,1102.0,10.13675,-6118.5,F,1.0
2.3,797.0,1353.6,-5611.5,G,1.0
2.3,797.0,46.90273122,-5287.5,G,1.0
2.3,797.0,16000.0,-5611.5,G,1.0
2.3,797.0,21.05652,-6362.5,F,1.0
6.34,423.0,85.3162004,-6044.5,G,1.0
2.67,797.0,60.92832271,-5688.5,G,1.0
2.52,344.0,135.1898,-5712.5,G,1.0
13.540472,1571.0,3.0652907,-6227.5,F,1.0
2.96,478.0,55.63934,-5947.5,G,1.0
