pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
11 Com b,11 Com,2.0,1.0,Radial Velocity,2007.0,51.997325585,2.3,191.96932,797.0,1.178,G8 III,4874.0,13.76,2.09,-0.26,93.1846,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
11 Com b,11 Com,2.0,1.0,Radial Velocity,2007.0,51.997325585,2.3,191.96932,797.0,1.29,G8 III,4742.0,19.0,2.7,-0.35,93.1846,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
11 Com b,11 Com,2.0,1.0,Radial Velocity,2007.0,10.3392924,2.3,191.96932,797.0,1.21,G0 V,5613.0,0.951815,2.6,-0.0039,93.1846,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
11 UMi b,11 UMi,1.0,1.0,Radial Velocity,2009.0,51.997325585,2.3,191.96932,797.0,1.54,K4 III,4340.0,24.08,1.8,0.04,125.321,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
11 UMi b,11 UMi,1.0,1.0,Radial Velocity,2009.0,51.997325585,2.3,191.96932,797.0,1.53,G0 V,4213.0,29.79,2.78,-0.02,125.321,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
11 UMi b,11 UMi,1.0,1.0,Radial Velocity,2009.0,10.3392924,2.3,191.96932,797.0,1.51,G0 V,5613.0,0.951815,1.7,-0.0039,125.321,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
14 And b,14 And,1.0,1.0,Radial Velocity,2008.0,10.3392924,2.3,191.96932,797.0,0.68,G0 V,5613.0,0.951815,1.2,-0.0039,75.4392,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
14 And b,14 And,1.0,1.0,Radial Velocity,2008.0,51.997325585,2.3,191.96932,797.0,0.775,K0 III,4888.0,11.55,1.78,-0.21,75.4392,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
14 And b,14 And,1.0,1.0,Radial Velocity,2008.0,51.997325585,2.3,191.96932,797.0,0.83,K0 III,4813.0,11.0,2.2,-0.24,75.4392,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
14 Her b,14 Her,1.0,2.0,Radial Velocity,2002.0,51.997325585,2.3,191.96932,797.0,2.774,G0 V,5613.0,0.951815,0.91,-0.0039,17.9323,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
