pl_orbper,pl_rade,pl_eqt,st_teff,st_lum,pl_dens,pl_insol,st_met,st_spectype,st_spectral_score,pl_bmasse,sy_dist
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
323.21,2.3,797.0,4874.0,1.97823,1.307,86.27,-0.26,G,3.0,0,0
326.03,2.3,797.0,4742.0,2.243,1.307,86.27,-0.35,G,3.0,0,0
516.21997,2.3,797.0,4213.0,-0.08124,1.307,86.27,-0.02,Unknown,0.0,0,0
516.22,2.3,797.0,4340.0,-0.08124,1.307,86.27,0.04,K,2.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
185.84,2.3,797.0,4813.0,1.763,1.307,86.27,-0.24,K,2.0,0,0
186.76,2.3,797.0,4888.0,1.83992,1.307,86.27,-0.21,K,2.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1766.0,2.3,797.0,5280.0,-0.15273,1.307,86.27,0.4,Unknown,0.0,0,0
1796.4,2.3,797.0,5255.0,-0.15,1.307,86.27,0.51,Unknown,0.0,0,0
1724.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,0.35,K,2.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1765.0389,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1766.41,2.3,797.0,5314.94,-0.08124,1.307,86.27,0.4052,Unknown,0.0,0,0
1773.4,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,K,2.0,0,0
1773.40002,2.3,797.0,5338.0,-0.08124,1.307,86.27,0.41,Unknown,0.0,0,0
798.5,2.3,797.0,5750.0,-0.08124,1.307,86.27,0.06,Unknown,0.0,0,0
799.5,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,G,3.0,0,0
800.8,2.3,797.0,5760.0,-0.08124,1.307,86.27,0.05,G,3.0,0,0
799.5,2.3,797.0,5747.0,0.09729,1.307,86.27,0.06,Unknown,0.0,0,0
799.45,2.3,797.0,5711.97,-0.08124,1.307,86.27,0.0739,Unknown,0.0,0,0
798.5,2.3,797.0,5674.0,-0.08124,1.307,86.27,0.038,Unknown,0.0,0,0
578.38,2.3,797.0,4157.0,2.25435,1.307,86.27,-0.01,K,2.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
982.85,2.3,797.0,4980.0,1.63367,1.307,86.27,-0.06,G,3.0,0,0
993.3,2.3,797.0,4979.0,1.602,1.307,86.27,-0.052,G,3.0,0,0
10.3311664,2.3,1700.0,4060.0,-0.37,1.307,86.27,-0.0014,K,2.0,0,0
10.3311664,18.647,1800.0,4060.0,-0.08124,1.307,86.27,-0.0014,K,2.0,0,0
10.3311664,2.3,1700.0,4060.0,-0.37,1.307,86.27,-0.0014,Unknown,0.0,0,0
10.3311664,2.3,1800.0,3993.0,-0.40347,1.307,86.27,-0.0014,Unknown,0.0,0,0
30.3506,2.3,797.0,4893.0,1.77415,1.307,86.27,-0.77,G,3.0,0,0
30.33,2.3,797.0,4816.0,1.87691,1.307,86.27,-0.78,G,3.0,0,0
452.8,2.3,797.0,5098.0,1.164,1.307,86.27,-0.03,Unknown,0.0,0,0
883.0,2.3,797.0,5098.0,1.164,1.307,86.27,-0.03,Unknown,0.0,0,0
10.3311664,2.3,1450.0,3100.0,-1.16368,1.307,86.27,0.01,M,1.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,M,1.0,0,0
10.3311664,11.209,1600.0,3309.0,-1.83849,1.307,86.27,-0.0014,Unknown,0.0,0,0
10.3311664,2.3,797.0,3530.0,-1.72,1.307,86.27,-0.0014,M,1.0,0,0
10.3311664,16.14096,797.0,3064.0,-2.23,1.307,86.27,-0.0014,M,1.0,0,0
10.3311664,2.3,797.0,5613.0,-2.59,1.307,86.27,-0.0014,M,1.0,0,0
